name,type,start_time,duration,"error","data"
"ch1","data",2.5052695,0.000082,"framing",0x6E
"ch1","data",2.505443,0.000082,"framing",0xF2
"ch1","data",2.5055765,0.000082,,0x92
"ch1","data",2.50567,0.000082,,0x6E
"ch1","data",2.5057635,0.000082,"framing",0xE0
"ch1","data",2.50587,0.000082,,0x62
"ch1","data",2.505977,0.000082,,0x82
"ch1","data",2.5060705,0.000082,"framing",0x6F
"ch1","data",2.506204,0.000082,,0x63
"ch1","data",2.5063105,0.000082,,0x70
"ch1","data",2.506404,0.000082,,0x7E
"ch1","data",2.506511,0.000082,,0x93
"ch1","data",2.506604,0.000082,,0x6E
"ch1","data",2.5066975,0.000082,"framing",0x0E
"ch1","data",2.5068045,0.000082,"framing",0x6C
"ch1","data",2.506938,0.000082,"framing",0x1C
"ch1","data",2.5070445,0.000082,,0x82
"ch1","data",2.507138,0.000082,,0x6E
"ch1","data",2.5072315,0.000082,"framing",0xE0
"ch1","data",2.5073385,0.000082,,0x8F
"ch1","data",2.507445,0.000082,,0x02
"ch1","data",2.5075385,0.000082,"framing",0x6E
"ch1","data",2.5076985,0.000082,"framing",0xEC
"ch1","data",2.5078185,0.000082,"framing",0x92
"ch1","data",2.507939,0.000082,"framing",0x6F
"ch1","data",2.5080455,0.000082,,0x7E
"ch1","data",2.508139,0.000082,,0x12
"ch1","data",2.508246,0.000082,,0x63
"ch1","data",2.508366,0.000082,"framing",0x0C
"ch1","data",2.5084995,0.000082,"framing",0x0C
"ch1","data",2.508633,0.000082,"framing",0x0C
"ch1","data",2.5087665,0.000082,"framing",0xEC
"ch1","data",2.5089,0.000082,"framing",0x8C
"ch1","data",2.509033,0.000082,"framing",0x0C
"ch1","data",2.5091665,0.000082,,0x6C
"ch1","data",2.5092735,0.000082,"framing",0x6C
"ch1","data",2.50938,0.000082,,0x70
"ch1","data",2.5094735,0.000082,,0x62
"ch1","data",2.5095805,0.000082,"framing",0x83
"ch1","data",2.509714,0.000082,,0x93
"ch1","data",2.5098075,0.000082,"framing",0x60
"ch1","data",2.509914,0.000082,,0x02
"ch1","data",2.5100075,0.000082,"framing",0x1C
"ch1","data",2.510114,0.000082,,0x82
"ch1","data",2.5102075,0.000082,,0x6E
"ch1","data",2.510301,0.000082,"framing",0xE0
"ch1","data",2.510408,0.000082,,0x8F
"ch1","data",2.5105145,0.000082,,0x02
"ch1","data",2.510608,0.000082,"framing",0x6E
"ch1","data",2.510768,0.000082,,0x6C
"ch1","data",2.510875,0.000082,,0x6C
"ch1","data",2.5110085,0.000082,"framing",0x6E
"ch1","data",2.5111285,0.000082,"framing",0x9C
"ch1","data",2.5112355,0.000082,"framing",0xE3
"ch1","data",2.511342,0.000082,,0xEC
"ch1","data",2.5114355,0.000082,"framing",0x0C
"ch1","data",2.511569,0.000082,"framing",0x0C
"ch1","data",2.5117025,0.000082,"framing",0x0C
"ch1","data",2.511836,0.000082,"framing",0x6C
"ch1","data",2.511956,0.000082,"framing",0x92
"ch1","data",2.512076,0.000082,,0x6C
"ch1","data",2.5122095,0.000082,,0x6C
"ch1","data",2.512303,0.000082,"framing",0x0E
"ch1","data",2.51241,0.000082,"framing",0x6C
"ch1","data",2.512543,0.000082,"framing",0x1C
"ch1","data",2.51265,0.000082,,0x82
"ch1","data",2.5127435,0.000082,,0x6E
"ch1","data",2.512837,0.000082,"framing",0xE0
"ch1","data",2.5129435,0.000082,,0x8E
"ch1","data",2.5130505,0.000082,,0x03
"ch1","data",2.513144,0.000082,"framing",0x6F
"ch1","data",2.513304,0.000082,"framing",0xEC
"ch1","data",2.513424,0.000082,"framing",0x12
"ch1","data",2.513584,0.000082,"framing",0x92
"ch1","data",2.5137175,0.000082,"framing",0x92
"ch1","data",2.513851,0.000082,"framing",0x82
"ch1","data",2.5139845,0.000082,,0x62
"ch1","data",2.5141045,0.000082,"framing",0x0C
"ch1","data",2.514238,0.000082,"framing",0x0C
"ch1","data",2.5143715,0.000082,,0x0C
"ch1","data",2.514465,0.000082,"framing",0x8E
"ch1","data",2.5146385,0.000082,"framing",0x0C
"ch1","data",2.514772,0.000082,,0x6C
"ch1","data",2.514879,0.000082,"framing",0x6C
"ch1","data",2.5150125,0.000082,"framing",0x6C
"ch1","data",2.515119,0.000082,,0x7E
